Upcoming,"Προσεχής, επικείμενος"
Windscreen wiper,Υαλοκαθαριστήρας 
Take on,Αναλαμβάνω (ευθύνη) / προσλαμβάνω
Term ,"Τρίμηνο, εξάμηνο"
Garage sale,Πώληση παλιών αντικειμένων ή ρούχων από ιδιώτη στο γκαράζ του σπιτιού του
Logo,Λογότυπο
Standard,"Κανονικός, απλός"
Platform,Αποβάθρα
Scratch ,"Ξύνω, γδέρνω"
Paintwork,"Βαφή, χρώμα"
Be sold out,Έχω εξαντληθεί (εισιτήρια)
Count sb in,"Συμπεριλαμβάνω, συνυπολογίζω κπ"
In the meanwhile,Στο μεταξύ
Worn out,Εξουθενωμένος
Mean,Έχω σκοπό
Graduate,Αποφοιτώ
Pick up,Μαθαίνω
Drag,Σέρνω
Be made redundant,Απολύομαι (λόγω υπεραριθμίας)
Marketing,Προώθηση (προϊόντων)
Break the news to sb ,Ανακοινώνω κτ δυσάρεστο σε κπ
Department,Τμήμα
Suepervisor,"Προϊστάμενος, επόπτης"
Resigned ,Συμφιλιωμένος (με την ιδέα)
Clutch,Συμπλέλτης
Colleague ,Συνάδελφος
Rumour,Φήμη 
Branch ,Υποκατάστημα
Be onto sb,Επικοινωνώ με κπ
Vacancy ,Κενή θέση (εργασίας)
Shake-up,"Ανακατάταξη, αναδιοργάνωση"
Downsize ,Κάνω περικοπές προσωπικού
Get the sack,Απολύομαι
Healthy,Ικανοποιητικός (για ποσό) / υγιής
Bring sth up,Αναφέρω κτ
On hand,Διαθέσιμος
Supplier ,Προμηθευτής
Send sth out,Στέλνω κτ (ταχυδρομικώς)
Altogether,Συνολικά
Steep,Υπερβολικός (για ποσό) / απόκρημνος
Man hour,Εργατοώρα
Stop dead ,Σταματάω απότομα
Hang around,"Περιφέρομαι, τριγυρνώ άσκοπα"
Connection,"Ανταπόκριση (για τρένα, αεροπλάνα)"
Depart,Αναχωρώ 
Time,"Ρυθμίζω, προγραμματίζω"
Period return ticket ,Εισιτήριο επιστροφής που ισχύει για ορισμένο χρονικό διάστημα
Eating disorder ,Διατροφική διαταραχή
Depression,Κατάθλιψη
Display,Παρουσιάζω
Imbalance,Ανισορροπία
Seek,Αναζητώ
Attend,"Παρακολουθώ, περευρίσκομαι"
Talk,Ομιλία
Pinpoint,"Εντοπίζω, προσδιορίζω"
Susceptible,"Επιρρεπής, ευάλωτος"
Resort to sth,Καταφεύγω σε κτ
Addictive ,Εθιστικός
Vicious circle,Φαύλος κύκλος
Partly ,Μερικώς
Skinny,"Κοκαλιάρης, πολύ αδύνατος"
Role model,Πρότυπο 
Be on the lookout for sth,"Αναζητώ, ψάχνω κτ "
Supportive ,Υποστηρικτικός
Fragile,"Ευαίσθητος, εύθραστος"
Adolescent,Έφηβος
Reassurance,Καθησύχαση
The Great Depression,Οικονομική ύφεση (παγκόσμια οικονομική κρίση στις αρχές του 1930)
Roaring,"Ταραχώδης, άγριος"
Be upturned ,Ανατρέπομαι
Partake in sth,Συμμετέχω σε κτ
Passionately ,Παθιασμένα
Prosperity ,Ευημερία
Speculate in,"Επενδύω, “παίζω” (στο χρηματιστήριο)"
Stock market ,Χρηματιστήριο
Splurge on sth,"Ξοδεύω ασύστολα, σπαταλάω χρήματα για κτ"
Repay,"Εξοφλώ, ξεπληρώνω"
Finance ,Χρηματοδοτώ
Lavish,Πολυτελής
Go bankrupt,Χρεοκοπώ
Collapse ,Καταρρέω 
Trigger,"Πυροδοτώ, αποτελώ έναυσμα"
Workforce ,Εργατικό δυναμικό
Incident,"Περιστατικό, συμβάν"
Federal,Ομοσπονδιακός
